date,high,low,open,close,volume,quoteVolume,weightedAverage
1674993600000,23643.07,23347.51,23432.92,23522.91,29.036383,682753.28,23513.86
1675008000000,23941.36,23471.54,23521.24,23893.64,38.685814,916504.66,23691.69
1675022400000,23896.15,23628.51,23893.42,23744.90,24.743279,588191.93,23771.89
1675036800000,23791.22,23581.68,23744.91,23691.56,16.571696,392366.79,23677.01
1675051200000,23767.69,23606.28,23691.57,23647.30,11.815951,279964.37,23693.8
1675065600000,23676.19,23050.00,23651.94,23082.34,52.200576,1214732.22,23271.35
1675080000000,23300.00,22984.71,23062.52,23177.40,24.153723,558774.22,23134.34
1675094400000,23239.58,22650.00,23179.50,22783.28,27.978657,642922.08,22980.62
1675108800000,22835.87,22524.95,22780.14,22823.48,26.302329,598088.11,22739.09
1675123200000,22900.00,22724.31,22823.45,22838.85,17.731965,404761.9,22826.76
1675137600000,22989.99,22756.00,22838.85,22983.78,18.401959,420369.85,22843.86
1675152000000,22990.00,22818.32,22980.58,22854.97,17.679623,404667.26,22888.96
1675166400000,23199.99,22850.46,22866.69,23128.30,26.769323,616643.15,23035.83
1675180800000,23200.00,23085.11,23129.52,23162.99,22.301405,515892.21,23132.74
1675195200000,23284.16,22830.06,23162.91,23125.33,21.393932,492822.43,23036.11
1675209600000,23172.58,23003.52,23125.31,23129.61,15.113603,348987.99,23091
1675224000000,23164.00,23010.82,23125.85,23073.90,16.167734,373484.79,23100.69
1675238400000,23087.05,22926.80,23073.85,23074.16,25.039718,576238.8,23013.04
1675252800000,23141.20,22943.98,23074.16,22979.25,15.925106,367301.9,23064.4
1675267200000,23469.99,22752.24,22980.06,23371.80,43.342231,1001643.15,23111.21
1675281600000,23791.48,23327.31,23376.21,23733.22,40.50582,957562.11,23640.62
1675296000000,24246.92,23696.67,23726.63,23848.44,42.18629,1010882.96,23963.04
1675310400000,23916.96,23674.99,23848.44,23773.03,22.094991,526115.78,23811.67
1675324800000,23845.30,23750.00,23773.03,23821.29,24.725143,588233.08,23790.9
1675339200000,23930.35,23546.83,23815.49,23839.31,35.411362,840959.96,23748.65
1675353600000,24129.32,23734.44,23835.20,23808.80,26.832014,640872.95,23885.08
1675368000000,23907.53,23387.67,23803.45,23495.04,34.507692,815121.25,23622.08
1675382400000,23589.18,23415.50,23495.04,23533.04,14.465347,340259.75,23522.48
1675396800000,23563.48,23452.41,23538.06,23455.15,15.587277,366676.45,23524.1
1675411200000,23540.46,23345.60,23455.13,23535.26,17.769947,416297.13,23427.08
1675425600000,23692.20,23236.46,23536.39,23602.56,35.673083,837424.11,23475.57
1675440000000,23699.00,23303.42,23595.08,23309.43,27.0022,634881.43,23512.57
1675454400000,23467.03,23228.66,23310.89,23431.44,17.334666,405271.15,23379.33
1675468800000,23450.00,23347.75,23427.04,23347.75,17.970767,420545.19,23401.66
1675483200000,23369.79,23268.82,23347.91,23330.85,14.455163,337135.05,23322.82
1675497600000,23371.12,23300.00,23329.42,23360.08,14.921939,348245.48,23337.83
1675512000000,23574.01,23349.64,23360.10,23424.19,23.485666,550577.89,23443.26
1675526400000,23464.68,23370.94,23419.51,23430.71,18.675878,437457.54,23423.68
1675540800000,23444.59,23261.09,23430.67,23321.01,14.455171,338266.35,23401.12
1675555200000,23366.61,23250.00,23321.00,23351.92,15.367865,358291.24,23314.33
1675569600000,23426.25,23331.03,23351.84,23377.84,13.937904,325798.88,23375.03
1675584000000,23422.33,23345.68,23377.83,23358.70,15.754744,368346.07,23380.02
1675598400000,23372.14,23018.70,23352.53,23094.29,30.621584,709258.95,23162.36
1675612800000,23156.53,22760.21,23094.27,22892.40,25.820034,592844.78,22961.06
1675627200000,23028.33,22821.09,22889.44,22938.16,20.776412,475848.01,22903.36
1675641600000,23085.64,22839.74,22936.94,22900.06,14.116095,324379.05,22979.56
1675656000000,22924.67,22636.55,22900.06,22877.61,17.159206,391215.92,22799.37
1675670400000,22926.87,22750.00,22876.87,22885.37,19.11536,436521.54,22836.21
1675684800000,23041.85,22754.32,22889.91,23031.00,28.05276,641535.16,22868.99
1675699200000,23150.47,22936.91,23031.06,23033.06,28.135816,647817.11,23024.72
1675713600000,23033.08,22655.17,23027.79,22762.12,20.104998,459632,22862.22
1675728000000,22887.22,22743.87,22759.06,22868.33,15.561799,355387.6,22837.21
1675742400000,22983.65,22860.35,22871.15,22913.40,13.824336,316827.26,22918.11
1675756800000,23054.64,22868.71,22913.43,22980.18,15.989418,366994.81,22952.45
1675771200000,23034.63,22888.98,22981.26,22902.40,15.219657,349684.65,22975.89
1675785600000,23334.31,22777.90,22903.74,23090.44,27.90496,642205.42,23014.83
1675800000000,23296.52,23029.63,23103.62,23251.95,15.47855,359216.88,23207.49
1675814400000,23428.11,23231.05,23251.95,23260.89,20.349372,474209.07,23303.46
1675828800000,23282.88,23192.01,23255.60,23233.75,14.790138,343545.12,23228
1675843200000,23239.56,23127.17,23231.85,23157.40,21.040866,487738.37,23180.54
1675857600000,23195.68,22872.33,23157.48,22873.81,23.109189,532721.85,23052.8
1675872000000,23039.04,22682.62,22872.33,22880.84,25.88805,592011.45,22868.44
1675886400000,22977.74,22800.00,22870.73,22960.41,16.050614,367577.1,22901.23
1675900800000,23006.94,22457.02,22960.35,22523.44,27.374587,622337.4,22735.85
1675915200000,22726.73,22363.00,22510.29,22674.59,24.767175,559034.2,22571.84
1675929600000,22760.10,22658.58,22674.75,22690.34,24.75738,561760.65,22690.65
1675944000000,22788.19,22558.28,22682.52,22606.94,21.003023,476781.14,22700.75
1675958400000,22622.83,21880.95,22610.72,22035.81,42.587765,949277.55,22292.23
1675972800000,22077.60,21704.14,22035.79,21800.44,32.36995,708217.83,21879.1
1675987200000,21932.73,21771.49,21807.90,21827.52,15.940658,348426.74,21857.77
1676001600000,21925.64,21624.39,21827.60,21896.29,23.309655,508411.74,21811.32
1676016000000,21921.71,21708.09,21899.21,21720.94,18.382845,401585.18,21845.72
1676030400000,21893.82,21545.00,21720.94,21647.77,27.992703,610023.09,21792.46
1676044800000,21792.34,21559.94,21647.71,21769.48,17.469841,378480.08,21664.88
1676059200000,21787.14,21477.95,21772.72,21631.84,21.158106,457288.72,21613.27
1676073600000,21717.75,21600.77,21622.44,21679.86,15.32566,331916.62,21657.59
1676088000000,21709.71,21646.65,21677.85,21689.12,14.656455,317693.47,21676.01
1676102400000,21703.32,21661.79,21692.64,21696.91,14.177561,307420.32,21683.58
1676116800000,21761.48,21661.79,21696.91,21738.85,14.637364,318063.64,21729.58
1676131200000,21736.86,21635.91,21736.81,21655.72,14.844453,321943.26,21687.81
1676145600000,21899.97,21649.62,21655.81,21859.91,19.667859,428162.66,21769.93
1676160000000,21880.26,21766.16,21856.69,21777.90,14.454132,315334.81,21816.26
1676174400000,21816.18,21770.18,21777.91,21800.37,14.0646,306535.62,21794.84
1676188800000,21944.03,21798.45,21801.21,21888.50,16.22315,354531.29,21853.46
1676203200000,21978.40,21757.67,21889.30,21944.10,14.555977,318322.15,21868.95
1676217600000,22076.65,21913.45,21940.00,21998.08,14.173202,311656.19,21989.15
1676232000000,22020.00,21634.18,21995.06,21784.02,21.398542,466822.6,21816.23
1676246400000,21860.95,21651.97,21783.36,21812.01,17.911254,389588.49,21751.12
1676260800000,21885.15,21796.48,21812.28,21865.00,14.714762,321357.78,21839.15
1676275200000,21871.21,21445.73,21871.21,21599.89,25.014995,540886.08,21622.94
1676289600000,21689.68,21558.29,21598.81,21568.30,18.751383,405612.86,21631.14
1676304000000,21674.39,21365.40,21577.55,21601.86,29.79603,641872.06,21542.4
1676318400000,21836.12,21548.63,21609.16,21775.69,23.433339,507998.62,21678.73
1676332800000,21813.92,21679.29,21770.94,21705.18,15.450982,335791.47,21732.72
1676347200000,21783.85,21683.64,21697.78,21763.60,9.609118,208851.82,21734.77
1676361600000,21851.71,21670.82,21763.62,21797.04,26.206327,570327.02,21763.07
1676376000000,22289.72,21556.24,21797.05,22038.30,66.410888,1451958.27,21864.91
1676390400000,22234.08,21927.65,22041.49,22213.09,29.392524,648829.71,22074.86
1676404800000,22268.28,22125.62,22212.99,22198.93,16.299809,362007.12,22209.32
1676419200000,22198.94,22048.94,22198.94,22103.40,15.950311,352774.48,22117.15
1676433600000,22170.58,22078.47,22102.54,22116.70,17.01723,376430.44,22120.56
1676448000000,22481.86,22089.77,22105.61,22443.97,40.127699,892187.6,22234.17
1676462400000,22891.51,22439.79,22439.79,22817.32,34.600308,785724.86,22708.95
1676476800000,23334.56,22747.06,22812.04,23314.09,41.772305,962157.62,23035.18
1676491200000,24348.00,23294.80,23318.67,24328.01,58.535638,1405659.32,24016.29
1676505600000,24879.04,24286.16,24326.47,24700.15,40.472397,997043.99,24635.66
1676520000000,24729.83,23500.10,24700.11,24602.92,37.383663,917064.57,24533.39
1676534400000,24656.09,24506.59,24596.99,24564.75,29.886349,734953.8,24591.66
1676548800000,25065.58,24300.00,24560.13,25062.57,51.059091,1254191.1,24565.22
1676563200000,25230.00,24626.76,25059.27,24877.06,50.148982,1249319.34,24913.07
1676577600000,24873.96,23510.68,24873.96,23515.04,51.442235,1243483.65,24177.07
1676592000000,23900.00,23357.34,23513.21,23842.54,26.623926,630271.3,23674.09
1676606400000,23878.53,23619.91,23835.63,23636.67,19.254789,457118.79,23740.62
1676620800000,23849.28,23550.00,23635.12,23794.05,21.120448,501027.69,23722.64
1676635200000,24263.65,23724.30,23790.96,24130.74,38.503693,922421.73,23957.44
1676649600000,24555.72,23304.04,24128.23,24523.93,46.683183,1131591.72,24242.37
1676664000000,25250.00,24066.86,24523.92,24575.50,68.37495,1686753.03,24671.67
1676678400000,24772.64,24520.29,24571.58,24602.37,19.357332,476422.39,24612.07
1676692800000,24666.89,24433.05,24604.94,24520.53,15.490412,381076.82,24600.92
1676707200000,24596.91,24441.26,24513.56,24520.20,14.220022,348805.36,24529.21
1676721600000,24722.16,24492.97,24520.21,24680.99,23.69353,583302.71,24618.72
1676736000000,24850.00,24584.64,24670.95,24615.85,19.25949,474998.86,24663.24
1676750400000,24661.09,24548.76,24615.84,24624.17,19.936212,490681.39,24612.57
1676764800000,24759.99,24609.29,24619.96,24682.45,21.637916,534111.86,24684.1
1676779200000,24837.99,24573.98,24681.52,24579.71,17.213842,425101.17,24695.44
1676793600000,24717.49,24562.53,24580.99,24675.85,18.308155,450788.37,24622.31
1676808000000,25021.64,24659.90,24671.18,24922.51,31.767769,787971.07,24804.44
